id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
base-153478033,DIY 木材 無垢 クラフト材｜ホオノキ ホオ 朴 700mm×235~263mm×32mm,ホオノキ ホオ 朴の一枚板 700mm×235~263mm×32mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478033?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/358c896506c92b684a4b0311a3a0a723.jpg,4070 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153478133,DIY 木材 無垢 クラフト材｜サクラ ヤマザクラ 山桜 チェリー 700mm×225mm×33mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 700mm×225mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478133?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/9aba5abf8d6f2ffe6401a521f52b7f57.jpg,4070 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153478188,まな板 木製 一枚板｜サクラ ヤマザクラ 山桜 チェリー 450mm×235~240mm×32mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 450mm×235~240mm×32mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478188?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/25a9f82846248c1151ae712cc05e77ac.jpg,2970 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153478240,DIY 木材 無垢 クラフト材｜サクラ ヤマザクラ 山桜 チェリー 757mm×276~284mm×29mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 757mm×276~284mm×29mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478240?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/8071f31472bc7a02585fc6901fac16b4.jpg,4620 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153478302,まな板 木製 一枚板｜サクラ ヤマザクラ 山桜 チェリー 500mm×205~225mm×35mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 500mm×205~225mm×35mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478302?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/fa9f6f10e9420cd248bf767c7450341f.jpg,3190 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153478359,DIY 木材 無垢 クラフト材｜ホオノキ ホオ 朴 700mm×260~265mm×34mm,ホオノキ ホオ 朴の一枚板 700mm×260~265mm×34mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478359?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/74189d409e62f6fdeee4e029636deb2f.jpg,4400 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153478468,まな板 木製 一枚板｜サクラ ヤマザクラ 山桜 チェリー 600mm×282mm×34mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 600mm×282mm×34mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478468?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/92535631e714622d5ad6f921cea288af.jpg,4180 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153478520,まな板 木製 一枚板｜シナ シナノキ バスウッド 600mm×352~355mm×24mm,シナ シナノキ バスウッドの一枚板 600mm×352~355mm×24mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478520?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/2473fc56dae0b0c81a455388f944d833.jpg,3100 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153478710,DIY 木材 無垢 クラフト材｜サクラ ヤマザクラ 山桜 チェリー 645mm×258mm×31mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 645mm×258mm×31mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478710?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/de41e57431b2bcfe2f90afaca77aa188.jpg,4070 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153478798,DIY 木材 無垢 クラフト材｜サクラ ヤマザクラ 山桜 チェリー 700mm×235mm×32mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 700mm×235mm×32mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153478798?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/f3f46e2bfda80a16ea05a9f7ae318917.jpg,4070 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
