id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
pendant-126595288,木製アロマペンダント さくら 6cm,さくらの木でつくった金属不使用のアロマペンダント（6cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=126595288,https://img14.shop-pro.jp/PA01306/696/product/126595288.png?cmsp_timestamp=20250910075456,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-126595301,木製アロマペンダント さくら,さくらの木でつくった金属不使用のアロマペンダント。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=126595301,https://img14.shop-pro.jp/PA01306/696/product/126595301.png?cmsp_timestamp=20250910075403,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-126595308,木製アロマペンダント さくら,さくらの木でつくった金属不使用のアロマペンダント。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=126595308,https://img14.shop-pro.jp/PA01306/696/product/126595308.png?cmsp_timestamp=20250910075254,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-84991376,木製アロマペンダント ブラックウォルナット 4cm,ブラックウォルナットの木でつくった金属不使用のアロマペンダント（4cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=84991376,https://img14.shop-pro.jp/PA01306/696/product/84991376.png?cmsp_timestamp=20250910081357,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-84997992,木製アロマペンダント けやき 3cm,けやきの木でつくった金属不使用のアロマペンダント（3cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=84997992,https://img14.shop-pro.jp/PA01306/696/product/84997992.png?cmsp_timestamp=20250910080508,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-84998036,木製アロマペンダント ホワイトアッシュ,ホワイトアッシュの木でつくった金属不使用のアロマペンダント。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=84998036,https://img14.shop-pro.jp/PA01306/696/product/84998036.png?cmsp_timestamp=20250910081757,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-84998071,木製アロマペンダント オーク 4cm,オークの木でつくった金属不使用のアロマペンダント（4cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=84998071,https://img14.shop-pro.jp/PA01306/696/product/84998071.png?cmsp_timestamp=20250910082715,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91831508,木製アロマペンダント ブラックウォルナット,ブラックウォルナットの木でつくった金属不使用のアロマペンダント。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91831508,https://img14.shop-pro.jp/PA01306/696/product/91831508.png?cmsp_timestamp=20250910081152,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91831861,木製アロマペンダント けやき 4cm,けやきの木でつくった金属不使用のアロマペンダント（4cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91831861,https://img14.shop-pro.jp/PA01306/696/product/91831861.png?cmsp_timestamp=20250910080807,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91832308,木製アロマペンダント ホワイトアッシュ,ホワイトアッシュの木でつくった金属不使用のアロマペンダント。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91832308,https://img14.shop-pro.jp/PA01306/696/product/91832308.png?cmsp_timestamp=20250910081901,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91832583,木製アロマペンダント オーク 3cm,オークの木でつくった金属不使用のアロマペンダント（3cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91832583,https://img14.shop-pro.jp/PA01306/696/product/91832583.png?cmsp_timestamp=20250910082624,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91832689,木製アロマペンダント ブラックウォルナット 6cm,ブラックウォルナットの木でつくった金属不使用のアロマペンダント（6cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91832689,https://img14.shop-pro.jp/PA01306/696/product/91832689.png?cmsp_timestamp=20250910081619,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
pendant-91832801,木製アロマペンダント オーク 6cm,オークの木でつくった金属不使用のアロマペンダント（6cm）。木の内側に精油を含ませ、フタを閉めたままほのかに香ります。香水が苦手な方、金属アレルギーの方に。新潟の山の木から自社製作。,https://woodfactory-kiyadesign.com/?pid=91832801,https://img14.shop-pro.jp/PA01306/696/product/91832801.png?cmsp_timestamp=20250910082744,3000 JPY,in stock,new,Junshin -潤森-,Apparel & Accessories > Jewelry > Necklaces,アロマペンダント
